Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Sat, 08 Feb 1913",5N, ,IRE v ,4-15,0:4,0-5,"Lansdowne Rd, Dublin", 
"Sat, 22 Feb 1913",5N, , v IRE,29-14,7:2,5-0,Inverleith, 
"Thu, 27 Feb 1913",5N, ,FRA v ,8-11,2:3,1-4,"Parc des Princes, Paris", 
"Sat, 08 Mar 1913",5N, , v IRE,16-13,3:2,4-1,Swansea, 
"Sat, 15 Mar 1913","5N,CA", , v SCO,3-0,1:0,4-1,"Twickenham, London", 
"Mon, 24 Mar 1913",5N, , v FRA,24-0,6:0,5-0,"Mardyke, Cork", 
"Sat, 06 Sep 1913",TO, , v AUS,30-5,8:1,5-0,"Athletic Park, Wellington", 
"Sat, 13 Sep 1913",TO, , v AUS,25-13,5:3,5-0,"Carisbrook, Dunedin", 
"Sat, 20 Sep 1913",TO, ,NZL v ,5-16,1:4,0-5,"Lancaster Park, Christchurch", 
"Sat, 15 Nov 1913",TO, ,USA v ,3-51,0:13,0-5,Berkeley, 
"Fri, 01 Jan 1914",5N, ,FRA v ,6-8,2:2,1-4,"Parc des Princes, Paris", 
"Sun, 17 Jan 1914",5N, , v WAL,10-9,2:1,4-1,"Twickenham, London", 
"Sat, 07 Feb 1914",5N, , v SCO,24-5,3:1,4-0,Cardiff Arms Park, 
"Sat, 14 Feb 1914",5N, , v IRE,17-12,5:2,5-1,"Twickenham, London", 
"Sat, 28 Feb 1914",5N, , v SCO,6-0,2:0,4-0,"Lansdowne Rd, Dublin", 
"Mon, 02 Mar 1914",5N, , v FRA,31-0,7:0,5-0,Swansea, 
"Sat, 14 Mar 1914",5N, ,IRE v ,3-11,1:3,0-4,"Balmoral Showground, Belfast", 
"Sat, 21 Mar 1914","5N,CA", ,SCO v ,15-16,3:4,1-5,Inverleith, 
"Mon, 13 Apr 1914",5N, ,FRA v ,13-39,3:9,0-5,"Stade Colombes, Paris", 
"Sat, 18 Jul 1914",TO, ,AUS v ,0-5,0:1,1-4,"Cricket Ground, Sydney", 
"Sat, 01 Aug 1914",TO, ,AUS v ,0-17,0:5,0-5,"Woolloongabba, Brisbane", 
"Sat, 15 Aug 1914",TO, ,AUS v ,7-22,1:6,0-5,"Cricket Ground, Sydney", 
"Fri, 01 Jan 1920",5N, ,FRA v ,0-5,0:1,1-4,"Parc des Princes, Paris", 
"Sun, 17 Jan 1920",5N, , v ENG,19-5,2:1,4-0,Swansea, 
"Sun, 31 Jan 1920",5N, , v FRA,8-3,1:1,4-1,"Twickenham, London", 
"Sat, 07 Feb 1920",5N, , v WAL,9-5,1:1,4-1,Inverleith, 
"Sat, 14 Feb 1920",5N, ,IRE v ,11-14,2:4,1-5,"Lansdowne Rd, Dublin", 
"Tue, 17 Feb 1920",5N, ,FRA v ,5-6,1:2,1-4,"Stade Colombes, Paris", 
"Sat, 28 Feb 1920",5N, , v IRE,19-0,4:0,5-0,Inverleith, 
"Sat, 13 Mar 1920",5N, , v IRE,28-4,6:0,5-0,Cardiff Arms Park, 
"Sat, 20 Mar 1920","5N,CA", , v SCO,13-4,3:0,4-0,"Twickenham, London", 
"Sat, 03 Apr 1920",5N, ,IRE v ,7-15,1:5,0-5,"Lansdowne Rd, Dublin", 
"Sat, 24 Jul 1920",TO, ,NSW v ,15-26,3:6,0-5,"Sports Ground, Sydney", 
"Sat, 31 Jul 1920",TO, ,NSW v ,6-14,1:4,0-5,"Sports Ground, Sydney", 
"Sat, 07 Aug 1920",TO, ,NSW v ,13-24,3:6,0-5,"Sports Ground, Sydney", 
"Sun, 05 Sep 1920",OL, , v FRA,8-0,1:0,4-0,Antwerp,Y
"Sun, 10 Oct 1920",TO, , v USA,14-5,4:0,5-0,"Stade Colombes, Paris", 
"Sun, 15 Jan 1921",5N, , v WAL,18-3,4:1,5-0,"Twickenham, London", 
"Sun, 22 Jan 1921",5N, ,SCO v ,0-3,0:1,1-4,Inverleith, 
"Sat, 05 Feb 1921",5N, ,WAL v ,8-14,0:3,0-4,Swansea, 
"Sat, 12 Feb 1921",5N, , v IRE,15-0,3:0,4-0,"Twickenham, London", 
"Sat, 26 Feb 1921",5N, , v FRA,12-4,2:0,4-0,Cardiff Arms Park, 
"Sat, 26 Feb 1921",5N, , v SCO,9-8,3:2,4-1,"Lansdowne Rd, Dublin", 
"Sat, 12 Mar 1921",5N, ,IRE v ,0-6,0:1,0-4,"Balmoral Showground, Belfast", 
"Sat, 19 Mar 1921","5N,CA", ,SCO v ,0-18,0:4,0-5,Inverleith, 
"Mon, 28 Mar 1921",5N, ,FRA v ,6-10,0:2,1-4,"Stade Colombes, Paris", 
"Sat, 09 Apr 1921",5N, , v IRE,20-10,4:2,5-0,"Stade Colombes, Paris", 
"Sat, 25 Jun 1921",TO, ,NSW v ,10-25,1:7,0-5,"Royal Agr. Ground, Sydney", 
"Mon, 27 Jun 1921",TO, ,NSW v ,11-16,3:4,1-5,"Royal Agr. Ground, Sydney", 
"Sat, 02 Jul 1921",TO, ,NSW v ,9-28,2:6,0-5,"Royal Agr. Ground, Sydney", 
"Sat, 13 Aug 1921",TO,1 , v SAF,13-5,3:1,4-0,"Carisbrook, Dunedin", 
"Sat, 27 Aug 1921",TO,2 ,NZL v ,5-9,1:1,1-4,"Eden Park, Auckland", 
"Sat, 03 Sep 1921",TO, ,NZL v ,0-17,0:4,0-5,"Lancaster Park, Christchurch", 
"Sat, 17 Sep 1921",TO,3 ,NZL v SAF,0-0,0:0,2-2,"Athletic Park, Wellington", 
"Tue, 02 Jan 1922",5N, ,FRA v SCO,3-3,1:1,2-2,"Stade Colombes, Paris", 
"Sun, 21 Jan 1922",5N, , v ENG,28-6,8:2,5-0,Cardiff Arms Park, 
"Sat, 04 Feb 1922",5N, ,SCO v WAL,9-9,2:1,2-2,Inverleith, 
"Sat, 11 Feb 1922",5N, ,IRE v ,3-12,1:4,0-5,"Lansdowne Rd, Dublin", 
"Sat, 25 Feb 1922",5N, ,ENG v FRA,11-11,1:3,2-2,"Twickenham, London", 
"Sat, 25 Feb 1922",5N, , v IRE,6-3,2:1,4-1,Inverleith, 
"Sat, 11 Mar 1922",5N, , v IRE,11-5,3:1,4-0,Swansea, 
"Sat, 18 Mar 1922","5N,CA", , v SCO,11-5,3:1,4-0,"Twickenham, London", 
"Thu, 23 Mar 1922",5N, ,FRA v ,3-11,1:3,0-4,"Stade Colombes, Paris", 
"Sat, 08 Apr 1922",5N, , v FRA,8-3,1:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 29 Jul 1922",TO, ,NSW v ,19-26,3:7,0-5,"Royal Agr. Ground, Sydney", 
"Sat, 05 Aug 1922",TO, , v NZL,14-8,1:2,4-0,"Royal Agr. Ground, Sydney", 
"Mon, 07 Aug 1922",TO, , v NZL,8-6,2:2,4-1,"Royal Agr. Ground, Sydney", 
"Sun, 20 Jan 1923",5N, , v FRA,16-3,4:0,5-0,Inverleith, 
"Sun, 20 Jan 1923",5N, , v WAL,7-3,1:1,4-1,"Twickenham, London", 
"Sat, 03 Feb 1923",5N, ,WAL v ,8-11,1:3,1-4,Cardiff Arms Park, 
"Sat, 10 Feb 1923",5N, , v IRE,23-5,5:1,5-0,"Welford Rd, Leicester", 
"Sat, 24 Feb 1923",5N, , v FRA,16-8,3:2,4-0,Swansea, 
"Sat, 24 Feb 1923",5N, ,IRE v ,3-13,1:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 10 Mar 1923",5N, , v WAL,5-4,1:0,4-1,"Lansdowne Rd, Dublin", 
"Sat, 17 Mar 1923","5N,CA", ,SCO v ,6-8,1:1,1-4,Inverleith, 
"Mon, 02 Apr 1923",5N, ,FRA v ,3-12,0:2,0-4,"Stade Colombes, Paris", 
"Sat, 14 Apr 1923",5N, , v IRE,14-8,4:2,5-0,"Stade Colombes, Paris", 
"Sat, 25 Aug 1923",TO, , v NSW,19-9,3:3,4-0,"Carisbrook, Dunedin", 
"Sat, 01 Sep 1923",TO, , v NSW,34-6,7:2,5-0,"Lancaster Park, Christchurch", 
"Sat, 15 Sep 1923",TO, , v NSW,38-11,8:2,5-0,"Athletic Park, Wellington", 
"Wed, 01 Jan 1924",5N, , v SCO,12-10,4:1,5-1,"Stade Charlety, Paris", 
"Sun, 19 Jan 1924",5N, ,WAL v ,9-17,3:5,0-5,Swansea, 
"Sun, 26 Jan 1924",5N, , v FRA,6-0,2:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 02 Feb 1924",5N, , v WAL,35-10,8:2,5-0,Inverleith, 
"Sat, 09 Feb 1924",5N, ,IRE v ,3-14,1:4,0-5,"Ravenhill, Belfast", 
"Sat, 23 Feb 1924",5N, , v FRA,19-7,5:1,5-0,"Twickenham, London", 
"Sat, 23 Feb 1924",5N, , v IRE,13-8,3:2,4-1,Inverleith, 
"Sat, 08 Mar 1924",5N, ,WAL v ,10-13,2:3,1-4,Cardiff Arms Park, 
"Sat, 15 Mar 1924","5N,CA", , v SCO,19-0,3:0,4-0,"Twickenham, London", 
"Thu, 27 Mar 1924",5N, ,FRA v ,6-10,2:2,1-4,"Stade Colombes, Paris", 
"Sun, 04 May 1924",OL, , v ROM,61-3,13:0,5-0,"Stade Colombes, Paris", 
"Sun, 11 May 1924",OL, , v ROM,37-0,9:0,5-0,"Stade Colombes, Paris",Y
"Sun, 18 May 1924",OL, ,FRA v ,3-17,1:5,0-5,"Stade Colombes, Paris", 
"Sat, 05 Jul 1924",TO, , v NZL,20-16,5:3,5-1,"Royal Agr. Ground, Sydney", 
"Sat, 12 Jul 1924",TO, ,NSW v ,5-21,1:7,0-5,"Royal Agr. Ground, Sydney", 
"Wed, 16 Jul 1924",TO, ,NSW v ,8-38,1:10,0-5,"Royal Agr. Ground, Sydney", 
"Sat, 16 Aug 1924",LT,1 , v LIO,7-3,1:1,4-1,"Kingsmead, Durban", 
"Sat, 23 Aug 1924",LT,2 , v LIO,17-0,4:0,5-0,"Wanderers, Johannesburg", 
"Sat, 13 Sep 1924",LT,3 ,SAF v LIO,3-3,1:1,2-2,"Crusader, Pt Elizabeth", 
"Sat, 20 Sep 1924",LT,4 , v LIO,16-9,4:2,5-0,"Newlands, Cape Town", 
"Sat, 01 Nov 1924",TO, ,IRE v ,0-6,0:1,0-4,"Lansdowne Rd, Dublin", 
"Sat, 29 Nov 1924",TO, ,WAL v ,0-19,0:4,0-5,Swansea, 
"Fri, 01 Jan 1925",5N, ,FRA v ,3-9,1:2,0-4,"Stade Colombes, Paris", 
"Sun, 03 Jan 1925",TO, ,ENG v ,11-17,2:4,0-5,"Twickenham, London", 
"Sun, 17 Jan 1925",5N, , v WAL,12-6,3:2,4-0,"Twickenham, London", 
"Mon, 18 Jan 1925",TO, ,FRA v ,6-30,2:8,0-5,Stade Toulouse, 
"Sun, 24 Jan 1925",5N, , v FRA,25-4,7:0,5-0,Inverleith, 
"Sat, 07 Feb 1925",5N, ,WAL v ,14-24,3:6,0-5,Swansea, 
"Sat, 14 Feb 1925",5N, ,ENG v IRE,6-6,2:2,2-2,"Twickenham, London", 
"Sat, 28 Feb 1925",5N, , v FRA,11-5,3:1,4-0,Cardiff Arms Park, 
"Sat, 28 Feb 1925",5N, ,IRE v ,8-14,1:2,0-4,"Lansdowne Rd, Dublin", 
"Sat, 14 Mar 1925",5N, , v WAL,19-3,4:1,5-0,"Ravenhill, Belfast", 
"Sat, 21 Mar 1925","5N,CA", , v ENG,14-11,2:2,4-1,"Murrayfield, Edinburgh", 
"Mon, 13 Apr 1925",5N, ,FRA v ,11-13,3:2,1-4,"Stade Colombes, Paris", 
"Sat, 13 Jun 1925",TO, ,NSW v ,3-26,1:7,0-5,"Royal Agr. Ground, Sydney", 
"Sat, 20 Jun 1925",TO, ,NSW v ,0-4,0:0,1-4,"Royal Agr. Ground, Sydney", 
"Tue, 23 Jun 1925",TO, ,NSW v ,3-11,0:3,0-4,"Royal Agr. Ground, Sydney", 
"Sat, 19 Sep 1925",TO, , v NSW,36-10,8:2,5-0,"Eden Park, Auckland", 
"Sun, 02 Jan 1926",5N, ,FRA v ,6-20,1:5,0-5,"Stade Colombes, Paris", 
"Sun, 16 Jan 1926",5N, ,WAL v ENG,3-3,1:1,2-2,Cardiff Arms Park, 
"Sun, 23 Jan 1926",5N, , v FRA,11-0,2:0,4-0,"Ravenhill, Belfast", 
"Sat, 06 Feb 1926",5N, , v WAL,8-5,1:1,4-1,"Murrayfield, Edinburgh", 
"Sat, 13 Feb 1926",5N, , v ENG,19-15,4:3,5-1,"Lansdowne Rd, Dublin", 
"Sat, 27 Feb 1926",5N, , v FRA,11-0,3:0,4-0,"Twickenham, London", 
"Sat, 27 Feb 1926",5N, ,SCO v ,0-3,0:1,1-4,"Murrayfield, Edinburgh", 
"Sat, 13 Mar 1926",5N, , v IRE,11-8,3:1,4-1,Swansea, 
"Sat, 20 Mar 1926","5N,CA", ,ENG v ,9-17,3:3,0-4,"Twickenham, London", 
"Mon, 05 Apr 1926",5N, ,FRA v ,5-7,1:1,1-4,"Stade Colombes, Paris", 
"Sat, 10 Jul 1926",TO, , v NZL,26-20,4:4,5-1,"Royal Agr. Ground, Sydney", 
"Sat, 17 Jul 1926",TO, ,NSW v ,6-11,1:2,1-4,"Royal Agr. Ground, Sydney", 
"Tue, 20 Jul 1926",TO, ,NSW v ,0-14,0:2,0-4,"Royal Agr. Ground, Sydney", 
"Thu, 29 Jul 1926",TO, ,NSW v ,21-28,2:6,0-5,"Royal Agr. Ground, Sydney", 
"Sun, 01 Jan 1927",5N, ,FRA v ,3-8,1:1,1-4,"Stade Colombes, Paris", 
"Sun, 15 Jan 1927",5N, , v WAL,11-9,1:2,4-1,"Twickenham, London", 
"Sun, 22 Jan 1927",5N, , v FRA,23-6,4:2,5-0,"Murrayfield, Edinburgh", 
"Sat, 05 Feb 1927",5N, ,WAL v ,0-5,0:1,1-4,Cardiff Arms Park, 
"Sat, 12 Feb 1927",5N, , v IRE,8-6,2:1,4-1,"Twickenham, London", 
"Sat, 26 Feb 1927",5N, , v FRA,25-7,7:1,5-0,Swansea, 
"Sat, 26 Feb 1927",5N, , v SCO,6-0,2:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 12 Mar 1927",5N, , v WAL,19-9,4:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 19 Mar 1927","5N,CA", , v ENG,21-13,5:2,5-0,"Murrayfield, Edinburgh", 
"Sat, 02 Apr 1927",5N, , v ENG,3-0,1:0,4-1,"Stade Colombes, Paris", 
"Sun, 17 Apr 1927", ,[ v GER,30-5,8:1,5-0,"Stade Colombes, Paris", 
"Sun, 15 May 1927", ,[ v FRA,17-16,4:4,5-2,Frankfurt, 
"Sat, 12 Nov 1927",TO, ,IRE v ,3-5,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 12 Nov 1927",TO, ,IRE v ,3-5,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 26 Nov 1927",TO, ,WAL v ,8-18,2:4,0-5,Cardiff Arms Park, 
"Sat, 26 Nov 1927",TO, ,WAL v ,8-18,2:4,0-5,Cardiff Arms Park, 
"Sat, 17 Dec 1927",TO, , v AUS,10-8,2:2,4-1,"Murrayfield, Edinburgh", 
"Sat, 17 Dec 1927",TO, , v NSW,10-8,2:1,4-1,"Murrayfield, Edinburgh", 
"Tue, 02 Jan 1928",5N, ,FRA v ,6-15,2:5,0-5,"Stade Colombes, Paris", 
"Sun, 07 Jan 1928",TO, , v AUS,18-11,4:3,5-0,"Twickenham, London", 
"Sun, 07 Jan 1928",TO, , v NSW,18-11,4:3,5-0,"Twickenham, London", 
"Sun, 21 Jan 1928",5N, ,WAL v ,8-10,2:2,1-4,Swansea, 
"Mon, 22 Jan 1928",TO, ,FRA v ,8-11,2:3,1-4,"Stade Colombes, Paris", 
"Mon, 22 Jan 1928",TO, ,FRA v ,8-11,2:3,1-4,"Stade Colombes, Paris", 
"Sun, 28 Jan 1928",5N, , v FRA,12-8,4:2,5-1,"Ravenhill, Belfast", 
"Sat, 04 Feb 1928",5N, ,SCO v ,0-13,0:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 11 Feb 1928",5N, ,IRE v ,6-7,2:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 25 Feb 1928",5N, , v FRA,18-8,4:2,5-0,"Twickenham, London", 
"Sat, 25 Feb 1928",5N, ,SCO v ,5-13,1:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 10 Mar 1928",5N, ,WAL v ,10-13,2:3,1-4,Cardiff Arms Park, 
"Sat, 17 Mar 1928","5N,CA", , v SCO,6-0,2:0,4-0,"Twickenham, London", 
"Sun, 18 Mar 1928", ,G['FRA'],3-14,0:4,0-5,Hannover, 
"Mon, 09 Apr 1928",5N, , v WAL,8-3,2:1,4-1,"Stade Colombes, Paris", 
"Sat, 30 Jun 1928",TO,1 , v NZL,17-0,1:0,4-0,"Kings Park Stadium, Durban", 
"Sat, 21 Jul 1928",TO,2 ,SAF v ,6-7,0:0,1-4,"Ellis Park, Johannesburg", 
"Sat, 18 Aug 1928",TO,3 , v NZL,11-6,3:2,4-1,"Crusader, Pt Elizabeth", 
"Sat, 01 Sep 1928",TO,4 ,SAF v ,5-13,1:1,0-4,"Newlands, Cape Town", 
"Wed, 05 Sep 1928",TO, , v NSW,15-12,2:3,4-1,"Athletic Park, Wellington", 
"Sat, 08 Sep 1928",TO, , v NSW,16-14,3:4,4-2,"Carisbrook, Dunedin", 
"Sat, 15 Sep 1928",TO, ,NZL v ,8-11,2:3,1-4,"Lancaster Park, Christchurch", 
"Wed, 01 Jan 1929",5N, ,FRA v ,0-6,0:2,0-4,"Stade Colombes, Paris", 
"Sun, 19 Jan 1929",5N, , v FRA,6-3,1:1,4-1,"Murrayfield, Edinburgh", 
"Sun, 19 Jan 1929",5N, , v WAL,8-3,2:1,4-1,"Twickenham, London", 
"Sat, 02 Feb 1929",5N, , v SCO,14-7,4:0,5-0,Swansea, 
"Sat, 09 Feb 1929",5N, ,ENG v ,5-6,1:2,1-4,"Twickenham, London", 
"Sat, 23 Feb 1929",5N, , v FRA,8-3,2:1,4-1,Cardiff Arms Park, 
"Sat, 23 Feb 1929",5N, ,IRE v ,7-16,1:4,0-5,"Lansdowne Rd, Dublin", 
"Sat, 09 Mar 1929",5N, ,IRE v WAL,5-5,1:1,2-2,"Ravenhill, Belfast", 
"Sat, 16 Mar 1929","5N,CA", , v ENG,12-6,4:2,5-0,"Murrayfield, Edinburgh", 
"Mon, 01 Apr 1929",5N, ,FRA v ,6-16,2:4,0-5,"Stade Colombes, Paris", 
"Sun, 28 Apr 1929", ,[ v GER,24-0,6:0,5-0,"Stade Colombes, Paris", 
"Sat, 06 Jul 1929",TO, , v NZL,9-8,1:1,4-1,"Cricket Ground, Sydney", 
"Sat, 20 Jul 1929",TO, , v NZL,17-9,3:2,4-0,"Exhibition Ground, Brisbane", 
"Sat, 27 Jul 1929",TO, , v NZL,15-13,2:3,4-1,"Cricket Ground, Sydney", 
"Thu, 01 Jan 1930",5N, , v SCO,7-3,1:1,4-1,"Stade Colombes, Paris", 
"Sun, 18 Jan 1930",5N, ,WAL v ,3-11,1:2,0-4,Cardiff Arms Park, 
"Sun, 25 Jan 1930",5N, ,IRE v ,0-5,0:1,1-4,"Ravenhill, Belfast", 
"Sat, 01 Feb 1930",5N, , v WAL,12-9,2:1,4-1,"Murrayfield, Edinburgh", 
"Sat, 08 Feb 1930",5N, , v ENG,4-3,0:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 22 Feb 1930",5N, , v FRA,11-5,3:1,4-0,"Twickenham, London", 
"Sat, 22 Feb 1930",5N, ,SCO v ,11-14,3:4,1-5,"Murrayfield, Edinburgh", 
"Sat, 08 Mar 1930",5N, , v IRE,12-7,3:0,4-1,Swansea, 
"Sat, 15 Mar 1930","5N,CA", ,ENG v SCO,0-0,0:0,2-2,"Twickenham, London", 
"Sun, 06 Apr 1930", ,G['FRA'],0-31,0:8,0-5,Berlin, 
"Mon, 21 Apr 1930",5N, ,FRA v ,0-11,0:1,0-4,"Stade Colombes, Paris", 
"Sat, 21 Jun 1930",LT,1 ,NZL v ,3-6,1:2,1-4,"Carisbrook, Dunedin", 
"Sat, 05 Jul 1930",LT,2 , v LIO,13-10,2:2,4-1,"Lancaster Park, Christchurch", 
"Sat, 26 Jul 1930",LT,3 , v LIO,15-10,3:2,4-1,"Eden Park, Auckland", 
"Sat, 09 Aug 1930",LT,4 , v LIO,22-8,6:1,5-0,"Athletic Park, Wellington", 
"Sat, 30 Aug 1930",LT, , v LIO,6-5,2:1,4-1,"Cricket Ground, Sydney", 
"Fri, 01 Jan 1931",5N, , v IRE,3-0,1:0,4-1,"Stade Colombes, Paris", 
"Sun, 17 Jan 1931",5N, ,ENG v WAL,11-11,1:2,2-2,"Twickenham, London", 
"Sun, 24 Jan 1931",5N, , v FRA,6-4,0:0,4-1,"Murrayfield, Edinburgh", 
"Sat, 07 Feb 1931",5N, , v SCO,13-8,3:2,4-1,Cardiff Arms Park, 
"Sat, 14 Feb 1931",5N, ,ENG v ,5-6,1:1,1-4,"Twickenham, London", 
"Sat, 28 Feb 1931",5N, , v FRA,35-3,7:1,5-0,Swansea, 
"Sat, 28 Feb 1931",5N, , v SCO,8-5,2:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 14 Mar 1931",5N, ,IRE v ,3-15,1:3,0-4,"Ravenhill, Belfast", 
"Sat, 21 Mar 1931","5N,CA", , v ENG,28-19,6:4,5-1,"Murrayfield, Edinburgh", 
"Mon, 06 Apr 1931",5N, , v ENG,14-13,2:3,4-1,"Stade Colombes, Paris", 
"Sun, 19 Apr 1931", ,[ v GER,34-0,8:0,5-0,"Stade Colombes, Paris", 
"Sat, 12 Sep 1931",BC,n , v AUS,20-13,2:3,4-0,"Eden Park, Auckland", 
"Sat, 05 Dec 1931","TO,GS",1 ,WAL v ,3-8,1:2,1-4,Swansea, 
"Sat, 19 Dec 1931","TO,GS",2 ,IRE v ,3-8,0:2,1-4,"Lansdowne Rd, Dublin", 
"Sun, 02 Jan 1932","TO,GS",3 ,ENG v ,0-7,0:1,0-4,"Twickenham, London", 
"Sun, 16 Jan 1932","TO,GS",4 ,SCO v ,3-6,1:2,1-4,"Murrayfield, Edinburgh", 
"Sun, 16 Jan 1932",5N, , v ENG,12-5,1:1,4-0,Swansea, 
"Sat, 06 Feb 1932",5N, ,SCO v ,0-6,0:1,0-4,"Murrayfield, Edinburgh", 
"Sat, 13 Feb 1932",5N, ,IRE v ,8-11,1:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 27 Feb 1932",5N, ,SCO v ,8-20,2:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 12 Mar 1932",5N, ,WAL v ,10-12,2:4,1-5,Cardiff Arms Park, 
"Sat, 19 Mar 1932","5N,CA", , v SCO,16-3,4:1,5-0,"Twickenham, London", 
"Sun, 17 Apr 1932", ,G['FRA'],4-20,0:5,0-5,Frankfurt, 
"Sat, 02 Jul 1932",BC,n , v NZL,22-17,4:3,5-1,"Cricket Ground, Sydney", 
"Sat, 16 Jul 1932",BC,n ,AUS v ,3-21,1:4,0-5,"Exhibition Ground, Brisbane", 
"Sat, 23 Jul 1932",BC,n ,AUS v ,13-21,3:5,0-5,"Cricket Ground, Sydney", 
"Sun, 21 Jan 1933",5N, ,ENG v ,3-7,1:1,1-4,"Twickenham, London", 
"Sat, 04 Feb 1933",5N, ,WAL v ,3-11,1:2,0-4,Swansea, 
"Sat, 11 Feb 1933",5N, , v IRE,17-6,5:1,5-0,"Twickenham, London", 
"Sat, 11 Mar 1933",5N, , v WAL,10-5,1:1,4-1,"Ravenhill, Belfast", 
"Sat, 18 Mar 1933","5N,CA", , v ENG,3-0,1:0,4-1,"Murrayfield, Edinburgh", 
"Sun, 26 Mar 1933", ,[ v GER,38-17,9:2,5-0,"Parc des Princes, Paris", 
"Sat, 01 Apr 1933",5N, ,IRE v ,6-8,2:0,1-4,"Lansdowne Rd, Dublin", 
"Sat, 08 Jul 1933",TO,1 , v AUS,17-3,4:0,5-0,"Newlands, Cape Town", 
"Sat, 22 Jul 1933",TO,2 ,SAF v ,6-21,1:4,0-5,"Kingsmead, Durban", 
"Sat, 12 Aug 1933",TO,3 , v AUS,12-3,2:1,4-0,"Ellis Park, Johannesburg", 
"Sat, 26 Aug 1933",TO,4 , v AUS,11-0,2:0,4-0,"Crusader, Pt Elizabeth", 
"Sat, 02 Sep 1933",TO,5 ,SAF v ,4-15,0:3,0-4,"Vodacom Park, Bloemfontein", 
"Sun, 20 Jan 1934",5N, ,WAL v ,0-9,0:3,0-4,Cardiff Arms Park, 
"Sat, 03 Feb 1934",5N, ,SCO v ,6-13,1:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 10 Feb 1934",5N, ,IRE v ,3-13,1:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 24 Feb 1934",5N, , v IRE,16-9,3:3,4-0,"Murrayfield, Edinburgh", 
"Sat, 10 Mar 1934",5N, , v IRE,13-0,3:0,4-0,Swansea, 
"Sat, 17 Mar 1934","5N,CA", , v SCO,6-3,2:1,4-1,"Twickenham, London", 
"Sun, 25 Mar 1934", ,G['FRA'],9-13,0:3,1-4,Hannover, 
"Sat, 11 Aug 1934",BC,n , v NZL,25-11,4:3,5-0,"Cricket Ground, Sydney", 
"Sat, 25 Aug 1934",BC,a ,AUS v NZL,3-3,1:1,2-2,"Cricket Ground, Sydney", 
"Sun, 19 Jan 1935",5N, ,ENG v WAL,3-3,0:1,2-2,"Twickenham, London", 
"Sat, 02 Feb 1935",5N, , v SCO,10-6,2:2,4-1,Cardiff Arms Park, 
"Sat, 09 Feb 1935",5N, , v IRE,14-3,1:1,4-0,"Twickenham, London", 
"Sat, 23 Feb 1935",5N, , v SCO,12-5,4:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 09 Mar 1935",5N, , v WAL,9-3,1:0,4-0,"Ravenhill, Belfast", 
"Sat, 16 Mar 1935","5N,CA", , v ENG,10-7,2:1,4-1,"Murrayfield, Edinburgh", 
"Sun, 24 Mar 1935", ,[ v GER,18-3,3:0,4-0,"Parc des Princes, Paris", 
"Sat, 23 Nov 1935",TO, ,SCO v ,8-18,2:4,0-5,"Murrayfield, Edinburgh", 
"Sat, 07 Dec 1935",TO, ,IRE v ,9-17,1:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 21 Dec 1935",TO, , v NZL,13-12,3:2,4-1,Cardiff Arms Park, 
"Sun, 04 Jan 1936",TO, , v NZL,13-0,3:0,4-0,"Twickenham, London", 
"Sun, 18 Jan 1936",5N, ,WAL v ENG,0-0,0:0,2-2,Swansea, 
"Sat, 01 Feb 1936",5N, ,SCO v ,3-13,1:3,0-4,"Murrayfield, Edinburgh", 
"Sat, 08 Feb 1936",5N, , v ENG,6-3,2:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 22 Feb 1936",5N, ,SCO v ,4-10,0:2,0-4,"Murrayfield, Edinburgh", 
"Sat, 14 Mar 1936",5N, , v IRE,3-0,0:0,4-1,Cardiff Arms Park, 
"Sat, 21 Mar 1936","5N,CA", , v SCO,9-8,3:1,4-1,"Twickenham, London", 
"Sun, 17 May 1936", ,G['FRA'],14-19,2:5,1-5,Berlin, 
"Sun, 17 May 1936",TO, , v ROM,8-7,2:1,4-1,Berlin,Y
"Sat, 05 Sep 1936",BC,a , v AUS,11-6,3:1,4-1,"Athletic Park, Wellington", 
"Sat, 12 Sep 1936",BC,n , v AUS,38-13,9:2,5-0,"Carisbrook, Dunedin", 
"Sun, 01 Nov 1936", ,G['FRA'],3-6,0:2,1-4,Hannover, 
